RESULT,PONO,BATCHNO,MIXNO,PDATE,M1T10,T10RE,M1T90,T90RE,M1ML,M1MH,D2MN,D2MNRE,Hard,HardRE,ram_count_closed,ram_closedtime,ram_closedtimemax,ram_opentime,ram_opentimemax,temp_avg_all,temp_avg_when_ram_closed,temp_avg_when_ram_open,temp_max_when_ram_closed,temp_max_when_ram_open,temp_max_minus_min_when_ram_closed,tempinc_avg_when_ram_closed,tempinc_max_when_ram_closed,heat_flux_when_ram_all,heat_flux_when_ram_closed,heat_flux_when_ram_open,volt_avg_all,volt_avg_when_ram_closed,volt_avg_when_ram_open,volt_max_when_ram_closed,volt_max_when_ram_open,volt_max_minus_min,physics_flux_all,physics_flux_when_ram_closed,physics_flux_when_ram_open
NG,14690109,1,K-PMB-17G,737875,140.0,OK,482.0,OK,4.37,24.43,103.0,NG,87.0,OK,5,234,85,100,54,78.85508982035927,90.09230769230768,52.56,122.8,118.9,122.8,0.0033919901513603944,0.06918238993710689,26337.599999999995,21081.6,5256.0,121.80838323353295,149.84188034188034,56.21,231.0,191.0,231.0,40684.0,35063.0,5621.0
NG,14690109,3,K-PMB-17G,737875,133.0,OK,451.0,OK,4.65,25.66,106.3,NG,89.0,OK,5,235,85,102,48,81.12433234421366,87.16680851063829,67.20294117647059,117.2,111.5,117.2,0.0026436838602450557,0.03216783216783213,27338.9,20484.2,6854.7,109.04747774480713,132.6978723404255,54.558823529411775,199.0,204.0,199.0,36749.0,31184.0,5565.0
NG,14690109,5,K-PMB-17G,737875,135.0,OK,443.0,OK,4.77,24.74,107.5,NG,89.0,OK,5,234,84,95,44,82.66018237082068,88.16025641025641,69.11263157894736,117.2,113.8,117.2,0.002667354921642481,0.04069767441860461,27195.2,20629.5,6565.699999999999,114.59574468085108,137.35042735042734,58.54736842105264,207.0,169.0,207.0,37702.0,32140.0,5562.0
NG,14689522,15,K-PMB-17G,737874,112.0,OK,418.0,OK,5.85,22.55,112.9,NG,87.0,OK,5,238,85,85,37,82.36501547987615,87.25336134453781,68.67764705882354,116.8,113.1,116.8,0.003316899522237396,0.1853146853146852,26603.9,20766.300000000007,5837.600000000001,114.87616099071207,142.63445378151258,37.15294117647059,214.0,153.0,214.0,37105.0,33947.0,3158.0
NG,14689522,18,K-PMB-17G,737874,128.0,OK,459.0,OK,4.69,26.28,106.1,NG,87.0,OK,5,239,85,84,38,87.45510835913313,92.1468619246862,74.10595238095237,120.7,117.3,120.7,0.00308142394580121,0.056692913385826674,28248.000000000004,22023.1,6224.9,117.93498452012385,145.39748953974896,39.797619047619044,208.0,167.0,208.0,38093.0,34750.0,3343.0
NG,14689522,21,K-PMB-17G,737874,122.0,OK,431.0,OK,5.18,25.49,109.8,NG,86.0,OK,5,234,85,64,33,85.87114093959731,90.44615384615385,69.14375,117.8,115.8,117.8,0.0029654459471775,0.05376344086021506,25589.6,21164.4,4425.2,121.46308724832217,145.19230769230768,34.703125,208.0,150.0,208.0,36196.0,33975.0,2221.0
NG,14689522,24,K-PMB-17G,737874,117.0,OK,407.0,OK,4.64,26.01,107.4,NG,87.0,OK,5,242,84,81,35,86.38080495356037,90.5921487603306,73.79876543209878,122.8,118.1,122.8,0.0033585355489374274,0.062883435582822,27901.0,21923.300000000007,5977.700000000002,115.58204334365324,144.2603305785124,29.901234567901234,214.0,175.0,214.0,37333.0,34911.0,2422.0
NG,14688858,1,K-PMB-17G,737873,117.0,OK,410.0,OK,4.67,25.07,106.6,NG,86.0,OK,5,238,85,85,34,83.75634674922601,90.92899159663864,63.672941176470594,124.8,121.1,124.8,0.004161543020998932,0.0811965811965813,27053.300000000007,21641.1,5412.2,118.37151702786377,145.57983193277315,42.188235294117646,209.0,155.0,209.0,38234.0,34648.0,3586.0
NG,14688858,3,K-PMB-17G,737873,122.0,OK,429.0,OK,4.73,24.32,106.8,NG,86.0,OK,6,229,74,94,37,89.0188854489164,93.30218340611354,78.58404255319148,122.9,119.6,122.9,0.003306839501817913,0.10535405872193412,28753.1,21366.2,7386.9,118.42414860681114,148.36244541484717,45.48936170212766,247.0,164.0,247.0,38251.0,33975.0,4276.0
NG,14688858,6,K-PMB-17G,737873,127.0,OK,469.0,OK,4.98,26.37,111.8,NG,87.0,OK,6,228,84,69,34,89.15218855218855,94.6122807017544,71.11014492753623,123.7,120.8,123.7,0.003165462475105524,0.05921052631578961,26478.2,21571.6,4906.5999999999985,128.68686868686868,153.75,45.8695652173913,212.0,151.0,212.0,38220.0,35055.0,3165.0
